document_id,dominant_topic,dominant_probability,topic_distribution,token_count
elsevier_paper_1264,0,0.901636,"{""0"": 0.901636, ""1"": 0.056686, ""2"": 0.041642, ""3"": 3.6e-05}",448
elsevier_paper_1269,2,0.88714,"{""0"": 0.112818, ""1"": 3.5e-05, ""2"": 0.88714, ""3"": 7e-06}",3911
elsevier_paper_127,1,0.967689,"{""0"": 0.032308, ""1"": 0.967689, ""2"": 2e-06, ""3"": 1e-06}",11164
elsevier_paper_1271,0,0.971635,"{""0"": 0.971635, ""1"": 0.018434, ""2"": 0.009892, ""3"": 3.9e-05}",332
elsevier_paper_1273,0,0.99989,"{""0"": 0.99989, ""1"": 7.2e-05, ""2"": 2.4e-05, ""3"": 1.4e-05}",1055
elsevier_paper_1274,0,0.999683,"{""0"": 0.999683, ""1"": 0.000207, ""2"": 7e-05, ""3"": 4e-05}",398
elsevier_paper_1277,0,0.974649,"{""0"": 0.974649, ""1"": 0.019563, ""2"": 4.7e-05, ""3"": 0.005742}",535
elsevier_paper_1286,0,0.999708,"{""0"": 0.999708, ""1"": 0.00019, ""2"": 6.5e-05, ""3"": 3.7e-05}",381
elsevier_paper_1294,0,0.769797,"{""0"": 0.769797, ""1"": 0.200799, ""2"": 7.3e-05, ""3"": 0.029331}",373
elsevier_paper_1295,0,0.999651,"{""0"": 0.999651, ""1"": 0.000228, ""2"": 7.7e-05, ""3"": 4.4e-05}",345
elsevier_paper_1300,1,0.999691,"{""0"": 0.000301, ""1"": 0.999691, ""2"": 5e-06, ""3"": 3e-06}",6387
elsevier_paper_1304,3,0.999617,"{""0"": 0.00036, ""1"": 1.7e-05, ""2"": 6e-06, ""3"": 0.999617}",4689
elsevier_paper_1307,0,0.999663,"{""0"": 0.999663, ""1"": 0.00022, ""2"": 7.5e-05, ""3"": 4.3e-05}",363
elsevier_paper_1310,0,0.949047,"{""0"": 0.949047, ""1"": 0.037001, ""2"": 5.9e-05, ""3"": 0.013894}",474
elsevier_paper_1311,1,0.999656,"{""0"": 0.000336, ""1"": 0.999656, ""2"": 6e-06, ""3"": 3e-06}",5913
elsevier_paper_1312,0,0.930026,"{""0"": 0.930026, ""1"": 6.1e-05, ""2"": 2.1e-05, ""3"": 0.069892}",1643
elsevier_paper_1313,0,0.900942,"{""0"": 0.900942, ""1"": 0.098955, ""2"": 6.5e-05, ""3"": 3.7e-05}",381
elsevier_paper_1316,0,0.999707,"{""0"": 0.999707, ""1"": 0.000191, ""2"": 6.5e-05, ""3"": 3.7e-05}",377
elsevier_paper_1317,0,0.978293,"{""0"": 0.978293, ""1"": 0.000229, ""2"": 7.8e-05, ""3"": 0.021401}",351
elsevier_paper_1319,0,0.932488,"{""0"": 0.932488, ""1"": 0.058087, ""2"": 4.3e-05, ""3"": 0.009383}",607
elsevier_paper_132,1,0.988852,"{""0"": 0.003239, ""1"": 0.988852, ""2"": 4e-06, ""3"": 0.007904}",6101
elsevier_paper_1320,0,0.999632,"{""0"": 0.999632, ""1"": 0.00024, ""2"": 8.1e-05, ""3"": 4.7e-05}",314
elsevier_paper_1325,0,0.921045,"{""0"": 0.921045, ""1"": 0.078814, ""2"": 9e-05, ""3"": 5.2e-05}",303
elsevier_paper_133,0,0.811343,"{""0"": 0.811343, ""1"": 0.162033, ""2"": 0.026594, ""3"": 3e-05}",473
elsevier_paper_1331,0,0.830368,"{""0"": 0.830368, ""1"": 0.057448, ""2"": 0.112151, ""3"": 3.3e-05}",453
elsevier_paper_1338,0,0.727378,"{""0"": 0.727378, ""1"": 0.137321, ""2"": 0.135256, ""3"": 4.5e-05}",328
elsevier_paper_1339,0,0.976394,"{""0"": 0.976394, ""1"": 0.023504, ""2"": 6.5e-05, ""3"": 3.7e-05}",380
elsevier_paper_1345,0,0.999704,"{""0"": 0.999704, ""1"": 0.000193, ""2"": 6.6e-05, ""3"": 3.8e-05}",412
elsevier_paper_1351,0,0.632726,"{""0"": 0.632726, ""1"": 0.367174, ""2"": 6.4e-05, ""3"": 3.7e-05}",1624
elsevier_paper_1352,0,0.806829,"{""0"": 0.806829, ""1"": 0.193057, ""2"": 7.2e-05, ""3"": 4.2e-05}",395
elsevier_paper_1353,0,0.942632,"{""0"": 0.942632, ""1"": 0.05726, ""2"": 6.8e-05, ""3"": 3.9e-05}",373
elsevier_paper_1357,0,0.685564,"{""0"": 0.685564, ""1"": 0.22678, ""2"": 0.077215, ""3"": 0.010441}",313
elsevier_paper_136,0,0.966684,"{""0"": 0.966684, ""1"": 0.033224, ""2"": 5.8e-05, ""3"": 3.4e-05}",405
elsevier_paper_1360,0,0.999745,"{""0"": 0.999745, ""1"": 0.000166, ""2"": 5.7e-05, ""3"": 3.2e-05}",456
elsevier_paper_1363,0,0.99974,"{""0"": 0.99974, ""1"": 0.000169, ""2"": 5.8e-05, ""3"": 3.3e-05}",436
elsevier_paper_1364,0,0.677296,"{""0"": 0.677296, ""1"": 0.308841, ""2"": 0.013838, ""3"": 2.5e-05}",558
elsevier_paper_1365,0,0.720045,"{""0"": 0.720045, ""1"": 0.279848, ""2"": 6.8e-05, ""3"": 3.9e-05}",367
elsevier_paper_1366,0,0.999726,"{""0"": 0.999726, ""1"": 0.000179, ""2"": 6.1e-05, ""3"": 3.5e-05}",408
elsevier_paper_1371,0,0.999671,"{""0"": 0.999671, ""1"": 0.000214, ""2"": 7.3e-05, ""3"": 4.2e-05}",383
